,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
9,2022-10-09,15:00,Serie A,Matchweek 9,Sun,Home,W,2,1,Hellas Verona,1.1,0.9,40.0,15922.0,Ivan Radovanović,3-5-2,Davide Ghersini,Match Report,,14.0,4.0,21.7,1.0,0,0,2023,Salernitana
10,2022-10-16,12:30,Serie A,Matchweek 10,Sun,Away,L,0,2,Inter,0.4,1.7,39.0,75452.0,Pasquale Mazzocchi,5-3-2,Juan Sacchi,Match Report,,8.0,3.0,22.8,1.0,0,0,2023,Salernitana
11,2022-10-22,15:00,Serie A,Matchweek 11,Sat,Home,W,1,0,Spezia,1.6,0.9,44.0,17260.0,Federico Fazio,3-5-2,Daniele Chiffi,Match Report,,17.0,4.0,17.7,0.0,0,0,2023,Salernitana
12,2022-10-30,18:00,Serie A,Matchweek 12,Sun,Away,W,3,1,Lazio,1.5,1.9,39.0,40000.0,Federico Fazio,3-5-2,Gianluca Manganiello,Match Report,,10.0,6.0,19.0,0.0,0,0,2023,Salernitana
13,2022-11-05,15:00,Serie A,Matchweek 13,Sat,Home,D,2,2,Cremonese,1.3,1.7,51.0,16780.0,Federico Fazio,3-5-2,Matteo Marchetti,Match Report,,10.0,2.0,20.9,0.0,0,0,2023,Salernitana
14,2022-11-09,20:45,Serie A,Matchweek 14,Wed,Away,L,1,2,Fiorentina,0.5,2.8,42.0,27329.0,Pasquale Mazzocchi,3-5-2,Federico La Penna,Match Report,,4.0,1.0,15.0,0.0,0,0,2023,Salernitana
15,2022-11-13,15:00,Serie A,Matchweek 15,Sun,Away,L,0,3,Monza,0.2,2.4,43.0,12372.0,Pasquale Mazzocchi,3-5-2,Antonio Giua,Match Report,,5.0,0.0,19.3,1.0,0,0,2023,Salernitana
16,2023-01-04,12:30,Serie A,Matchweek 16,Wed,Home,L,1,2,Milan,0.7,2.7,44.0,29541.0,Federico Fazio,3-5-2,Francesco Fourneau,Match Report,,8.0,1.0,15.9,0.0,0,0,2023,Salernitana
17,2023-01-08,12:30,Serie A,Matchweek 17,Sun,Home,D,1,1,Torino,0.8,2.2,38.0,16300.0,Federico Fazio,3-1-4-2,Andrea Colombo,Match Report,,11.0,4.0,18.4,0.0,0,0,2023,Salernitana
18,2023-01-15,18:00,Serie A,Matchweek 18,Sun,Away,L,2,8,Atalanta,1.0,2.9,43.0,18499.0,Federico Fazio,3-4-1-2,Gianluca Aureliano,Match Report,,7.0,2.0,17.0,0.0,0,0,2023,Salernitana
19,2023-01-21,18:00,Serie A,Matchweek 19,Sat,Home,L,0,2,Napoli,0.4,1.4,26.0,18555.0,Norbert Gyömbér,4-5-1,Daniele Chiffi,Match Report,,5.0,2.0,14.8,0.0,0,0,2023,Salernitana
20,2023-01-27,20:45,Serie A,Matchweek 20,Fri,Away,W,2,1,Lecce,0.9,1.4,41.0,24446.0,Antonio Candreva,4-3-3,Davide Massa,Match Report,,10.0,6.0,23.8,2.0,0,0,2023,Salernitana
21,2023-02-07,20:45,Serie A,Matchweek 21,Tue,Home,L,0,3,Juventus,0.8,2.2,53.0,26945.0,Antonio Candreva,4-3-3,Antonio Rapuano,Match Report,,10.0,1.0,21.8,0.0,0,0,2023,Salernitana
22,2023-02-13,18:30,Serie A,Matchweek 22,Mon,Away,L,0,1,Hellas Verona,0.9,1.2,63.0,17832.0,Luigi Sepe,3-4-1-2,Paolo Valeri,Match Report,,8.0,3.0,22.3,1.0,0,0,2023,Salernitana
23,2023-02-19,15:00,Serie A,Matchweek 23,Sun,Home,L,0,2,Lazio,0.4,3.0,35.0,14860.0,Antonio Candreva,3-4-3,Rosario Abisso,Match Report,,9.0,2.0,16.5,0.0,0,0,2023,Salernitana
24,2023-02-26,15:00,Serie A,Matchweek 24,Sun,Home,W,3,0,Monza,2.4,1.4,38.0,14947.0,Antonio Candreva,3-4-3,Livio Marinelli,Match Report,,12.0,5.0,14.9,0.0,0,0,2023,Salernitana
25,2023-03-05,15:00,Serie A,Matchweek 25,Sun,Away,D,0,0,Sampdoria,0.8,0.5,44.0,20353.0,Antonio Candreva,3-4-3,Davide Massa,Match Report,,10.0,4.0,16.1,1.0,0,0,2023,Salernitana
26,2023-03-13,20:45,Serie A,Matchweek 26,Mon,Away,D,1,1,Milan,0.8,2.2,36.0,71870.0,Pasquale Mazzocchi,3-4-3,Federico La Penna,Match Report,,6.0,3.0,18.7,0.0,0,0,2023,Salernitana
27,2023-03-18,18:00,Serie A,Matchweek 27,Sat,Home,D,2,2,Bologna,0.9,0.4,42.0,18600.0,Pasquale Mazzocchi,3-4-3,Luca Pairetto,Match Report,,14.0,4.0,17.1,0.0,0,0,2023,Salernitana
28,2023-04-02,15:00,Serie A,Matchweek 28,Sun,Away,D,1,1,Spezia,1.1,2.0,49.0,10723.0,Antonio Candreva,3-4-3,Daniele Orsato,Match Report,,12.0,1.0,16.7,0.0,0,0,2023,Salernitana
29,2023-04-07,17:00,Serie A,Matchweek 29,Fri,Home,D,1,1,Inter,1.1,2.8,44.0,23702.0,Antonio Candreva,3-4-3,Michael Fabbri,Match Report,,11.0,3.0,19.3,0.0,0,0,2023,Salernitana
30,2023-04-16,15:00,Serie A,Matchweek 30,Sun,Away,D,1,1,Torino,0.7,1.7,37.0,21122.0,Antonio Candreva,3-4-3,Gianluca Aureliano,Match Report,,8.0,1.0,16.0,0.0,0,0,2023,Salernitana
31,2023-04-22,15:00,Serie A,Matchweek 31,Sat,Home,W,3,0,Sassuolo,1.3,0.7,47.0,23060.0,Antonio Candreva,3-4-3,Giacomo Camplone,Match Report,,13.0,5.0,15.9,0.0,0,0,2023,Salernitana
32,2023-04-30,15:00,Serie A,Matchweek 32,Sun,Away,D,1,1,Napoli,0.3,1.6,27.0,54726.0,Pasquale Mazzocchi,3-4-3,Matteo Marcenaro,Match Report,,5.0,2.0,18.0,0.0,0,0,2023,Salernitana
33,2023-05-03,18:00,Serie A,Matchweek 33,Wed,Home,D,3,3,Fiorentina,1.1,1.9,47.0,17868.0,Pasquale Mazzocchi,3-4-3,Ivan Pezzuto,Match Report,,3.0,2.0,24.1,0.0,1,1,2023,Salernitana
34,2023-05-08,18:30,Serie A,Matchweek 34,Mon,Away,L,1,2,Empoli,0.7,1.8,51.0,10760.0,Pasquale Mazzocchi,3-4-3,Manuel Volpi,Match Report,,13.0,2.0,19.4,0.0,0,0,2023,Salernitana
35,2023-05-13,15:00,Serie A,Matchweek 35,Sat,Home,W,1,0,Atalanta,0.5,1.2,52.0,17400.0,Pasquale Mazzocchi,3-4-3,Marco Piccinini,Match Report,,10.0,4.0,21.7,1.0,0,0,2023,Salernitana
36,2023-05-22,18:30,Serie A,Matchweek 36,Mon,Away,D,2,2,Roma,1.1,1.4,41.0,64286.0,Antonio Candreva,3-4-3,Andrea Colombo,Match Report,,8.0,3.0,22.5,0.0,0,0,2023,Salernitana
37,2023-05-27,15:00,Serie A,Matchweek 37,Sat,Home,W,3,2,Udinese,1.2,2.3,48.0,27035.0,Pasquale Mazzocchi,3-4-3,Niccolò Baroni,Match Report,,11.0,3.0,21.8,2.0,0,0,2023,Salernitana
38,2023-06-03,21:00,Serie A,Matchweek 38,Sat,Away,L,0,2,Cremonese,0.7,1.4,58.0,10308.0,Pasquale Mazzocchi,3-4-3,Daniele Perenzoni,Match Report,,11.0,1.0,21.6,1.0,0,0,2023,Salernitana
1,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Home,L,1,2,Inter,0.7,2.1,30.0,25353.0,Morten Hjulmand,4-3-3,Alessandro Prontera,Match Report,,10.0,4.0,18.6,2.0,0,0,2023,Lecce
2,2022-08-20,20:45,Serie A,Matchweek 2,Sat,Away,L,0,1,Sassuolo,0.5,0.6,41.0,9219.0,Morten Hjulmand,4-3-3,Andrea Colombo,Match Report,,7.0,1.0,19.3,1.0,0,0,2023,Lecce
3,2022-08-28,20:45,Serie A,Matchweek 3,Sun,Home,D,1,1,Empoli,0.9,0.4,41.0,23941.0,Morten Hjulmand,4-3-3,Alberto Santoro,Match Report,,15.0,5.0,17.9,0.0,0,0,2023,Lecce
4,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Away,D,1,1,Napoli,1.1,1.7,29.0,37573.0,Morten Hjulmand,4-1-4-1,Matteo Marcenaro,Match Report,,8.0,3.0,25.5,1.0,0,1,2023,Lecce
5,2022-09-05,20:45,Serie A,Matchweek 5,Mon,Away,L,0,1,Torino,0.3,1.1,41.0,19087.0,Morten Hjulmand,4-1-4-1,Manuel Volpi,Match Report,,9.0,2.0,15.3,1.0,0,0,2023,Lecce
6,2022-09-11,15:00,Serie A,Matchweek 6,Sun,Home,D,1,1,Monza,0.9,0.1,53.0,23391.0,Morten Hjulmand,4-3-3,Luca Pairetto,Match Report,,7.0,3.0,14.5,1.0,0,0,2023,Lecce
7,2022-09-16,20:45,Serie A,Matchweek 7,Fri,Away,W,2,1,Salernitana,1.5,1.2,42.0,19488.0,Morten Hjulmand,4-3-3,Daniele Doveri,Match Report,,13.0,4.0,20.0,0.0,0,0,2023,Lecce
8,2022-10-02,15:00,Serie A,Matchweek 8,Sun,Home,D,1,1,Cremonese,1.0,1.6,54.0,23377.0,Morten Hjulmand,4-1-4-1,Livio Marinelli,Match Report,,6.0,1.0,18.7,0.0,1,1,2023,Lecce
9,2022-10-09,20:45,Serie A,Matchweek 9,Sun,Away,L,1,2,Roma,0.3,3.2,34.0,64018.0,Morten Hjulmand,4-3-3,Alessandro Prontera,Match Report,,6.0,3.0,19.2,1.0,0,0,2023,Lecce
10,2022-10-17,20:45,Serie A,Matchweek 10,Mon,Home,D,1,1,Fiorentina,1.1,0.5,41.0,24925.0,Gabriel Strefezza,4-3-3,Luca Massimi,Match Report,,6.0,2.0,9.9,0.0,0,0,2023,Lecce
11,2022-10-23,15:00,Serie A,Matchweek 11,Sun,Away,L,0,2,Bologna,0.4,1.8,46.0,24206.0,Morten Hjulmand,4-2-3-1,Simone Sozza,Match Report,,8.0,4.0,19.8,0.0,0,0,2023,Lecce
12,2022-10-29,18:00,Serie A,Matchweek 12,Sat,Home,L,0,1,Juventus,0.2,0.6,36.0,25860.0,Morten Hjulmand,4-2-3-1,Daniele Chiffi,Match Report,,5.0,0.0,21.7,0.0,0,0,2023,Lecce
13,2022-11-04,20:45,Serie A,Matchweek 13,Fri,Away,D,1,1,Udinese,0.7,1.7,43.0,21834.0,Morten Hjulmand,4-3-3,Francesco Fourneau,Match Report,,9.0,1.0,18.0,0.0,0,0,2023,Lecce
14,2022-11-09,18:30,Serie A,Matchweek 14,Wed,Home,W,2,1,Atalanta,1.1,1.5,39.0,23797.0,Morten Hjulmand,4-3-3,Gianluca Aureliano,Match Report,,15.0,3.0,19.6,0.0,0,0,2023,Lecce
15,2022-11-12,18:00,Serie A,Matchweek 15,Sat,Away,W,2,0,Sampdoria,0.6,0.7,43.0,20211.0,Morten Hjulmand,4-3-3,Daniele Doveri,Match Report,,11.0,3.0,19.4,0.0,0,0,2023,Lecce
16,2023-01-04,16:30,Serie A,Matchweek 16,Wed,Home,W,2,1,Lazio,1.3,0.7,41.0,26084.0,Morten Hjulmand,4-3-3,Livio Marinelli,Match Report,,11.0,4.0,20.4,0.0,0,0,2023,Lecce
17,2023-01-08,15:00,Serie A,Matchweek 17,Sun,Away,D,0,0,Spezia,1.1,0.9,43.0,7300.0,Gabriel Strefezza,4-3-3,Daniele Chiffi,Match Report,,14.0,3.0,15.1,0.0,0,0,2023,Lecce
18,2023-01-14,18:00,Serie A,Matchweek 18,Sat,Home,D,2,2,Milan,1.4,1.4,35.0,25942.0,Morten Hjulmand,4-3-3,Daniele Orsato,Match Report,,17.0,3.0,18.0,0.0,0,0,2023,Lecce
19,2023-01-21,15:00,Serie A,Matchweek 19,Sat,Away,L,0,2,Hellas Verona,0.8,0.5,58.0,19955.0,Morten Hjulmand,4-3-3,Federico La Penna,Match Report,,9.0,3.0,17.4,0.0,0,0,2023,Lecce
20,2023-01-27,20:45,Serie A,Matchweek 20,Fri,Home,L,1,2,Salernitana,1.4,0.9,59.0,24446.0,Morten Hjulmand,4-3-3,Davide Massa,Match Report,,15.0,4.0,17.4,0.0,0,0,2023,Lecce
21,2023-02-04,15:00,Serie A,Matchweek 21,Sat,Away,W,2,0,Cremonese,1.5,0.6,42.0,11189.0,Morten Hjulmand,4-3-3,Daniele Orsato,Match Report,,9.0,4.0,14.1,0.0,0,0,2023,Lecce
22,2023-02-11,18:00,Serie A,Matchweek 22,Sat,Home,D,1,1,Roma,0.3,1.7,42.0,25200.0,Morten Hjulmand,4-3-3,Gianluca Aureliano,Match Report,,8.0,3.0,22.0,0.0,0,0,2023,Lecce
23,2023-02-19,12:30,Serie A,Matchweek 23,Sun,Away,W,2,1,Atalanta,0.4,1.5,30.0,19435.0,Morten Hjulmand,4-3-3,Marco Piccinini,Match Report,,4.0,2.0,22.5,0.0,0,0,2023,Lecce
24,2023-02-25,20:45,Serie A,Matchweek 24,Sat,Home,L,0,1,Sassuolo,1.2,1.1,42.0,23760.0,Morten Hjulmand,4-3-3,Niccolò Baroni,Match Report,,16.0,0.0,18.6,0.0,0,0,2023,Lecce
25,2023-03-05,18:00,Serie A,Matchweek 25,Sun,Away,L,0,2,Inter,0.6,0.8,38.0,75033.0,Morten Hjulmand,4-3-3,Gianluca Manganiello,Match Report,,11.0,1.0,22.1,0.0,0,0,2023,Lecce
26,2023-03-12,12:30,Serie A,Matchweek 26,Sun,Home,L,0,2,Torino,0.5,0.1,55.0,24413.0,Morten Hjulmand,4-3-3,Juan Sacchi,Match Report,,12.0,1.0,21.0,0.0,0,0,2023,Lecce
27,2023-03-19,15:00,Serie A,Matchweek 27,Sun,Away,L,0,1,Fiorentina,0.5,1.2,41.0,34604.0,Morten Hjulmand,4-3-3,Rosario Abisso,Match Report,,8.0,2.0,11.7,0.0,0,0,2023,Lecce
28,2023-04-03,18:30,Serie A,Matchweek 28,Mon,Away,L,0,1,Empoli,0.2,1.7,47.0,8844.0,Morten Hjulmand,4-3-3,Michael Fabbri,Match Report,,5.0,0.0,22.8,0.0,0,0,2023,Lecce
29,2023-04-07,19:00,Serie A,Matchweek 29,Fri,Home,L,1,2,Napoli,1.1,1.1,32.0,25799.0,Morten Hjulmand,4-3-3,Gianluca Manganiello,Match Report,,11.0,3.0,16.4,1.0,0,0,2023,Lecce
30,2023-04-16,12:30,Serie A,Matchweek 30,Sun,Home,D,1,1,Sampdoria,2.6,0.6,42.0,22471.0,Morten Hjulmand,4-1-4-1,Maurizio Mariani,Match Report,,30.0,10.0,15.6,1.0,0,0,2023,Lecce
31,2023-04-23,18:00,Serie A,Matchweek 31,Sun,Away,L,0,2,Milan,1.2,0.8,32.0,72614.0,Morten Hjulmand,4-3-3,Daniele Chiffi,Match Report,,9.0,4.0,14.1,0.0,0,0,2023,Lecce
32,2023-04-28,18:30,Serie A,Matchweek 32,Fri,Home,W,1,0,Udinese,2.0,0.7,39.0,23069.0,Morten Hjulmand,4-3-3,Matteo Marchetti,Match Report,,15.0,3.0,17.9,0.0,1,1,2023,Lecce
33,2023-05-03,18:00,Serie A,Matchweek 33,Wed,Away,L,1,2,Juventus,1.7,1.8,46.0,33757.0,Morten Hjulmand,4-3-3,Francesco Fourneau,Match Report,,13.0,4.0,18.5,1.0,1,1,2023,Lecce
34,2023-05-07,20:45,Serie A,Matchweek 34,Sun,Home,L,0,1,Hellas Verona,0.8,0.8,53.0,24768.0,Morten Hjulmand,4-3-3,Davide Massa,Match Report,,15.0,2.0,19.4,0.0,0,0,2023,Lecce
35,2023-05-12,20:45,Serie A,Matchweek 35,Fri,Away,D,2,2,Lazio,1.4,1.7,33.0,40000.0,Morten Hjulmand,4-3-3,Fabio Maresca,Match Report,,13.0,4.0,17.1,0.0,0,1,2023,Lecce
36,2023-05-21,12:30,Serie A,Matchweek 36,Sun,Home,D,0,0,Spezia,0.3,0.8,40.0,26022.0,Gabriel Strefezza,4-3-3,Maurizio Mariani,Match Report,,5.0,0.0,20.0,0.0,0,0,2023,Lecce
37,2023-05-28,15:00,Serie A,Matchweek 37,Sun,Away,W,1,0,Monza,1.2,1.1,27.0,15039.0,Gabriel Strefezza,4-3-3,Daniele Doveri,Match Report,,8.0,0.0,25.1,0.0,1,1,2023,Lecce
38,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Home,L,2,3,Bologna,1.4,1.1,39.0,25816.0,Morten Hjulmand,4-3-3,Marco Piccinini,Match Report,,20.0,7.0,18.9,0.0,0,0,2023,Lecce
1,2022-08-14,20:45,Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,0.5,0.7,41.0,8360.0,Emmanuel Gyasi,3-5-2,Daniele Chiffi,Match Report,,9.0,2.0,20.1,0.0,0,0,2023,Spezia
2,2022-08-20,20:45,Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,0.5,2.1,46.0,71212.0,Emmanuel Gyasi,3-5-2,Davide Ghersini,Match Report,,2.0,0.0,7.7,0.0,0,0,2023,Spezia
3,2022-08-27,20:45,Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,1.2,2.8,43.0,6500.0,Emmanuel Gyasi,3-5-2,Francesco Cosso,Match Report,,6.0,1.0,17.7,0.0,1,1,2023,Spezia
4,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,0.2,0.9,50.0,35709.0,Emmanuel Gyasi,3-5-2,Andrea Colombo,Match Report,,9.0,0.0,28.8,0.0,0,0,2023,Spezia
5,2022-09-04,15:00,Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,0.9,0.9,45.0,7555.0,Emmanuel Gyasi,3-5-2,Antonio Giua,Match Report,,15.0,5.0,18.5,0.0,0,0,2023,Spezia
6,2022-09-10,15:00,Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,0.5,2.2,37.0,32839.0,Emmanuel Gyasi,3-5-2,Alberto Santoro,Match Report,,10.0,1.0,17.6,1.0,0,0,2023,Spezia
7,2022-09-17,18:00,Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,0.7,0.9,52.0,10000.0,Emmanuel Gyasi,3-5-2,Simone Sozza,Match Report,,6.0,3.0,14.0,0.0,0,0,2023,Spezia
8,2022-10-02,12:30,Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,1.1,2.3,39.0,41000.0,Emmanuel Gyasi,3-5-2,Juan Sacchi,Match Report,,14.0,1.0,18.4,0.0,0,0,2023,Spezia
9,2022-10-09,15:00,Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,0.5,0.7,53.0,12094.0,Emmanuel Gyasi,3-5-2,Daniele Perenzoni,Match Report,,10.0,1.0,16.3,1.0,0,0,2023,Spezia
10,2022-10-16,15:00,Serie A,Matchweek 10,Sun,Home,D,2,2,Cremonese,1.5,2.1,54.0,8400.0,Emmanuel Gyasi,4-3-3,Gianluca Manganiello,Match Report,,15.0,6.0,19.6,0.0,0,0,2023,Spezia
12,2022-10-22,15:00,Serie A,Matchweek 11,Sat,Away,L,0,1,Salernitana,0.9,1.6,56.0,17260.0,Emmanuel Gyasi,3-5-2,Daniele Chiffi,Match Report,,14.0,2.0,19.0,0.0,0,0,2023,Spezia
13,2022-10-30,15:00,Serie A,Matchweek 12,Sun,Home,L,1,2,Fiorentina,1.2,2.1,50.0,10500.0,Emmanuel Gyasi,3-5-2,Davide Massa,Match Report,,10.0,6.0,15.7,0.0,0,0,2023,Spezia
14,2022-11-05,20:45,Serie A,Matchweek 13,Sat,Away,L,1,2,Milan,1.6,2.2,42.0,71099.0,Mehdi Bourabia,3-5-2,Michael Fabbri,Match Report,,13.0,5.0,16.9,1.0,0,0,2023,Spezia
15,2022-11-08,18:30,Serie A,Matchweek 14,Tue,Home,D,1,1,Udinese,2.0,0.6,49.0,6900.0,Daniele Verde,3-5-2,Marco Piccinini,Match Report,,21.0,6.0,13.9,1.0,0,0,2023,Spezia
16,2022-11-13,15:00,Serie A,Matchweek 15,Sun,Away,W,2,1,Hellas Verona,0.8,2.1,55.0,18000.0,Emmanuel Gyasi,3-5-2,Fabio Maresca,Match Report,,16.0,9.0,20.8,0.0,0,0,2023,Spezia
17,2023-01-04,14:30,Serie A,Matchweek 16,Wed,Home,D,2,2,Atalanta,1.5,2.1,36.0,7417.0,Emmanuel Gyasi,3-5-2,Antonio Giua,Match Report,,7.0,3.0,15.5,0.0,0,0,2023,Spezia
18,2023-01-08,15:00,Serie A,Matchweek 17,Sun,Home,D,0,0,Lecce,0.9,1.1,57.0,7300.0,Emmanuel Gyasi,3-5-2,Daniele Chiffi,Match Report,,10.0,2.0,14.6,0.0,0,0,2023,Spezia
19,2023-01-15,15:00,Serie A,Matchweek 18,Sun,Away,W,1,0,Torino,1.5,1.0,33.0,15113.0,Emmanuel Gyasi,3-5-2,Davide Ghersini,Match Report,,12.0,4.0,18.3,1.0,1,1,2023,Spezia
21,2023-01-22,18:00,Serie A,Matchweek 19,Sun,Home,L,0,2,Roma,0.2,2.0,52.0,9153.0,Emmanuel Gyasi,3-4-3,Simone Sozza,Match Report,,8.0,0.0,26.7,1.0,0,0,2023,Spezia
22,2023-01-27,18:30,Serie A,Matchweek 20,Fri,Away,L,0,2,Bologna,0.5,1.6,43.0,17213.0,Emmanuel Gyasi,3-4-1-2,Luca Massimi,Match Report,,6.0,4.0,20.8,0.0,0,0,2023,Spezia
23,2023-02-05,12:30,Serie A,Matchweek 21,Sun,Home,L,0,3,Napoli,0.4,1.9,31.0,8700.0,Daniele Verde,3-5-2,Marco Di Bello,Match Report,,9.0,3.0,21.4,0.0,0,0,2023,Spezia
24,2023-02-11,15:00,Serie A,Matchweek 22,Sat,Away,D,2,2,Empoli,1.5,1.6,36.0,7871.0,Emmanuel Gyasi,3-5-2,Antonio Giua,Match Report,,8.0,2.0,20.2,0.0,1,1,2023,Spezia
25,2023-02-19,18:00,Serie A,Matchweek 23,Sun,Home,L,0,2,Juventus,1.3,1.1,59.0,11767.0,Emmanuel Gyasi,4-2-3-1,Federico La Penna,Match Report,,18.0,7.0,18.0,0.0,0,0,2023,Spezia
26,2023-02-26,18:00,Serie A,Matchweek 24,Sun,Away,D,2,2,Udinese,2.5,2.5,51.0,20710.0,Emmanuel Gyasi,4-2-3-1,Matteo Marchetti,Match Report,,9.0,2.0,18.5,0.0,0,0,2023,Spezia
27,2023-03-05,12:30,Serie A,Matchweek 25,Sun,Home,D,0,0,Hellas Verona,1.2,1.2,69.0,10020.0,Emmanuel Gyasi,4-3-3,Daniele Doveri,Match Report,,20.0,4.0,18.4,0.0,0,0,2023,Spezia
28,2023-03-10,20:45,Serie A,Matchweek 26,Fri,Home,W,2,1,Inter,1.0,3.8,31.0,11767.0,Emmanuel Gyasi,3-5-2,Livio Marinelli,Match Report,,3.0,1.0,20.5,0.0,1,1,2023,Spezia
29,2023-03-17,18:30,Serie A,Matchweek 27,Fri,Away,L,0,1,Sassuolo,0.7,2.0,55.0,11152.0,Emmanuel Gyasi,4-2-3-1,Davide Ghersini,Match Report,,11.0,1.0,18.7,0.0,0,0,2023,Spezia
30,2023-04-02,15:00,Serie A,Matchweek 28,Sun,Home,D,1,1,Salernitana,2.0,1.1,51.0,10723.0,Emmanuel Gyasi,4-3-3,Daniele Orsato,Match Report,,15.0,4.0,18.2,1.0,0,0,2023,Spezia
31,2023-04-08,14:30,Serie A,Matchweek 29,Sat,Away,D,1,1,Fiorentina,0.7,1.0,34.0,35863.0,Emmanuel Gyasi,4-3-3,Federico Dionisi,Match Report,,4.0,3.0,19.5,0.0,0,0,2023,Spezia
32,2023-04-14,20:45,Serie A,Matchweek 30,Fri,Home,L,0,3,Lazio,0.7,2.8,53.0,9500.0,Emmanuel Gyasi,4-3-3,Massimiliano Irrati,Match Report,,6.0,2.0,16.2,0.0,0,0,2023,Spezia
33,2023-04-22,20:45,Serie A,Matchweek 31,Sat,Away,D,1,1,Sampdoria,2.5,1.4,55.0,19181.0,Emmanuel Gyasi,4-3-3,Fabio Maresca,Match Report,,19.0,7.0,15.5,2.0,0,0,2023,Spezia
34,2023-04-28,20:45,Serie A,Matchweek 32,Fri,Home,L,0,2,Monza,1.7,0.9,46.0,9200.0,Emmanuel Gyasi,4-3-3,Antonio Rapuano,Match Report,,12.0,4.0,16.1,1.0,0,0,2023,Spezia
35,2023-05-03,18:00,Serie A,Matchweek 33,Wed,Away,L,2,3,Atalanta,1.0,0.8,44.0,17417.0,Emmanuel Gyasi,4-3-3,Livio Marinelli,Match Report,,9.0,4.0,18.4,0.0,0,0,2023,Spezia
36,2023-05-06,20:45,Serie A,Matchweek 34,Sat,Away,L,0,2,Cremonese,1.3,0.9,70.0,10260.0,Emmanuel Gyasi,4-3-3,Marco Guida,Match Report,,18.0,8.0,17.6,2.0,0,0,2023,Spezia
37,2023-05-13,18:00,Serie A,Matchweek 35,Sat,Home,W,2,0,Milan,1.8,1.0,41.0,11366.0,Emmanuel Gyasi,3-5-2,Daniele Doveri,Match Report,,14.0,4.0,15.0,1.0,0,0,2023,Spezia
38,2023-05-21,12:30,Serie A,Matchweek 36,Sun,Away,D,0,0,Lecce,0.8,0.3,60.0,26022.0,Emmanuel Gyasi,3-5-2,Maurizio Mariani,Match Report,,14.0,0.0,22.3,3.0,0,0,2023,Spezia
39,2023-05-27,15:00,Serie A,Matchweek 37,Sat,Home,L,0,4,Torino,0.9,1.0,51.0,10776.0,Emmanuel Gyasi,3-5-2,Marco Guida,Match Report,,9.0,1.0,20.9,2.0,0,0,2023,Spezia
40,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Away,L,1,2,Roma,1.0,2.2,32.0,62242.0,Emmanuel Gyasi,3-5-2,Fabio Maresca,Match Report,,8.0,2.0,22.6,1.0,0,0,2023,Spezia
41,2023-06-11,20:45,Serie A,Relegation tie-breaker,Sun,Home,L,1,3,Hellas Verona,1.9,0.8,68.0,,Dimitris Nikolaou,3-5-2,Daniele Orsato,Match Report,,16.0,8.0,18.0,1.0,0,1,2023,Spezia
1,2022-08-15,18:30,Serie A,Matchweek 1,Mon,Home,L,2,5,Napoli,1.1,2.4,34.0,16967.0,Davide Faraoni,3-5-2,Michael Fabbri,Match Report,,6.0,3.0,11.5,0.0,0,0,2023,Hellas Verona
2,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Away,D,1,1,Bologna,1.9,0.8,48.0,17725.0,Davide Faraoni,3-5-2,Matteo Marcenaro,Match Report,,19.0,3.0,17.2,0.0,0,0,2023,Hellas Verona
3,2022-08-28,18:30,Serie A,Matchweek 3,Sun,Home,L,0,1,Atalanta,0.5,0.8,49.0,16106.0,Miguel Veloso,3-5-2,Alessandro Prontera,Match Report,,14.0,2.0,25.7,0.0,0,0,2023,Hellas Verona
4,2022-08-31,18:30,Serie A,Matchweek 4,Wed,Away,D,1,1,Empoli,0.6,1.1,48.0,7269.0,Davide Faraoni,3-5-2,Marco Serra,Match Report,,9.0,3.0,14.6,0.0,0,0,2023,Hellas Verona
5,2022-09-04,18:00,Serie A,Matchweek 5,Sun,Home,W,2,1,Sampdoria,2.5,0.8,49.0,16675.0,Miguel Veloso,3-5-2,Paolo Valeri,Match Report,,17.0,9.0,16.3,0.0,0,0,2023,Hellas Verona
6,2022-09-11,18:00,Serie A,Matchweek 6,Sun,Away,L,0,2,Lazio,0.3,1.1,41.0,38000.0,Miguel Veloso,3-4-1-2,Massimiliano Irrati,Match Report,,7.0,1.0,19.7,0.0,0,0,2023,Hellas Verona
